metric,correlation_with_overall_percentile
total_stdev,0.9844042009020287
link_play_percentile,0.7409931897442946
link_play_stdev,0.7182602529489878
offensive_duel_impact,0.6362350021535125
key_passes_per_90,0.602076949035145
xa_per_90,0.5952699659636865
offensive_duels_won_pct,0.5010866257698635
passes_to_penalty_area_per_90,0.4985027961707827
touches_in_box_per_90,0.4669665469144312
penalty_box_passes_impact,0.4421996623031568
offensive_duels_per_90,0.38111492111496614
shooting_impact,0.3551698574360138
shots_per_90,0.31667124397715346
goal_threat_stdev,0.31232073012667044
non_penalty_goals_p90,0.30415839840746905
non_pkxg,0.30388130587501627
goal_threat_percentile,0.2860350400979216
non_pkxg_p90,0.2243513255262749
shots_on_target_pct,0.2025422276235976
goal_conversion_pct,0.11038868063638466
accurate_passes_to_penalty_area_pct,0.08086370074295511
