season,player_900_plus_mins,team,possession,total_stdev,overall_rank,minutes_played,xg,penalties_taken,non_pkxg,non_pkxg_p90,non_penalty_goals_p90,shots_per_90,shots_on_target_pct,shooting_impact,goal_conversion_pct,goal_threat_stdev,goal_threat_rank,offensive_duels_per_90,offensive_duels_won_pct,offensive_duel_impact,touches_in_box_per_90,key_passes_per_90,passes_to_penalty_area_per_90,accurate_passes_to_penalty_area_pct,penalty_box_passes_impact,xa_per_90,link_play_stdev,link_play_rank
2024.0,E. Azcona,Las Vegas Lights,59.94,6.689522826,0.851,925.0,1.23,0.0,1.23,0.067,0.0,0.078,0.918,0.472,0.0,-5.385505013,0.06,0.993,0.833,0.972,0.23,0.216,0.582,0.894,0.787,0.855,3.65475622,0.851
2024.0,V. Noël,Las Vegas Lights,59.94,4.140719418,0.716,3502.0,6.94,0.0,6.94,0.199,0.479,0.241,0.752,0.504,0.571,-0.8095623714,0.39,0.117,0.684,0.34,0.142,0.504,0.748,0.848,0.883,0.567,2.539203876,0.791
2024.0,K. Bennett,Las Vegas Lights,59.94,-5.600000474,0.241,2458.0,12.19,4.0,9.23,0.681,0.791,0.812,0.809,0.897,0.855,3.537818644,0.858,0.248,0.34,0.259,0.514,0.007,0.021,0.546,0.078,0.0,-5.056590663,0.039
2025.0,C. Jennings,Charleston Battery,59.61,6.31601014,0.833,2305.0,16.82,9.0,10.16,0.855,0.695,0.95,0.851,0.965,0.862,4.291940265,0.894,0.227,0.457,0.291,0.993,0.759,0.511,0.457,0.504,0.805,3.003098519,0.812
2022.0,L. Solignac,El Paso Locomotive,59.23,6.038541733,0.826,2339.0,14.16,3.0,11.94,0.936,0.968,0.652,0.989,0.996,0.972,8.055798344,0.993,0.309,0.496,0.426,0.766,0.504,0.28,0.755,0.454,0.493,0.3578067869,0.592
2022.0,J. Gómez,El Paso Locomotive,59.23,4.669687584,0.759,2504.0,8.24,3.0,6.02,0.344,0.167,0.794,0.248,0.457,0.181,-2.416436133,0.245,0.979,0.631,0.869,0.713,0.798,0.468,0.16,0.27,0.805,1.721509069,0.727
2025.0,G. Hurst,New Mexico United,58.96,-4.463588417,0.301,1930.0,6.07,0.0,6.07,0.511,0.73,0.411,0.238,0.266,0.752,0.7454251804,0.574,0.018,0.89,0.358,0.206,0.55,0.394,0.546,0.447,0.248,-1.783985932,0.333
2024.0,MD Myers,Charleston Battery,58.38,-1.380781837,0.408,2760.0,14.53,1.0,13.79,0.933,0.77,0.525,0.975,0.943,0.816,4.618590583,0.904,0.606,0.025,0.071,0.816,0.55,0.227,0.514,0.284,0.567,-0.3623262007,0.525
2024.0,J. Conway,Charleston Battery,58.38,-6.076341125,0.213,1000.0,4.13,0.0,4.13,0.784,0.713,0.787,0.468,0.66,0.465,1.664034389,0.684,0.447,0.124,0.152,0.255,0.043,0.301,0.819,0.514,0.17,-3.567119688,0.121
2023.0,T. Moshobane,San Diego Loyal,56.61,8.499427525,0.904,2063.0,5.28,0.0,5.28,0.379,0.695,0.128,0.809,0.461,0.908,1.364495942,0.652,0.677,0.599,0.695,0.426,0.805,0.667,0.904,0.869,0.926,5.13841033,0.915
2023.0,E. Collier,San Diego Loyal,56.61,5.118734209,0.784,1012.0,1.98,0.0,1.98,0.195,0.259,0.149,0.138,0.103,0.337,-3.129762715,0.181,0.819,0.734,0.84,0.277,0.766,0.66,0.401,0.617,0.911,1.711793988,0.723
2023.0,R. Damus,San Diego Loyal,56.61,4.330072277,0.73,2148.0,12.98,2.0,11.5,0.965,0.911,0.738,0.943,0.957,0.908,6.315314926,0.972,0.713,0.535,0.674,0.798,0.28,0.11,0.362,0.11,0.17,-2.997489414,0.188
2023.0,E. Conway,San Diego Loyal,56.61,0.895191785,0.578,2539.0,9.24,0.0,9.24,0.645,0.77,0.39,0.45,0.411,0.812,1.798928998,0.706,0.521,0.475,0.5,0.348,0.28,0.589,0.681,0.674,0.17,-1.738648513,0.348
2024.0,D. Formella,Phoenix Rising,56.51,2.223732889,0.652,1758.0,6.07,1.0,5.33,0.475,0.479,0.567,0.628,0.656,0.468,0.1915346344,0.518,0.411,0.67,0.603,0.617,0.131,0.851,0.454,0.794,0.348,1.235822328,0.681
2024.0,T. Ángel,Phoenix Rising,56.51,-8.661314641,0.074,1378.0,5.38,2.0,3.9,0.45,0.06,0.738,0.489,0.67,0.156,-2.116319346,0.262,0.057,0.482,0.131,0.493,0.241,0.461,0.915,0.748,0.089,-1.551373913,0.369
2024.0,R. Cabral,Phoenix Rising,56.51,-9.607292746,0.046,1408.0,5.39,1.0,4.65,0.557,0.755,0.844,0.543,0.766,0.628,1.796768148,0.699,0.28,0.046,0.057,0.741,0.0,0.043,0.762,0.135,0.0,-4.250275895,0.074
2022.0,T. Amang,San Diego Loyal,55.63,13.23275613,0.979,1974.0,12.84,0.0,12.84,0.993,0.911,0.972,0.521,0.876,0.518,5.283265626,0.929,0.947,0.812,0.929,1.0,0.535,0.525,0.762,0.681,0.17,1.252571104,0.684
2022.0,T. Moshobane,San Diego Loyal,55.63,10.3803096,0.94,2404.0,4.8,0.0,4.8,0.206,0.387,0.11,0.592,0.287,0.578,-1.50834182,0.323,0.713,0.883,0.901,0.333,0.812,0.784,0.911,0.933,0.89,5.124447059,0.911
2022.0,K. Vassell,San Diego Loyal,55.63,8.697011953,0.908,2103.0,14.24,3.0,12.02,0.975,0.933,0.982,0.415,0.837,0.663,5.207688267,0.926,0.887,0.564,0.759,0.872,0.571,0.5,0.628,0.596,0.493,0.6348148278,0.628
2022.0,A. Carleton,San Diego Loyal,55.63,0.5496191046,0.543,1022.0,2.14,1.0,1.4,0.078,0.0,0.142,0.564,0.309,0.103,-4.851536168,0.078,0.816,0.933,0.95,0.085,0.383,0.901,0.436,0.844,0.089,-0.2357365308,0.546
