season,player,team,position,minutes_played,overall_percentile,total_stdev,goal_threat_percentile,link_play_percentile,non_pkxg_p90,non_penalty_goals_p90,shots_per_90,shots_on_target_pct,offensive_duels_won_pct,touches_in_box_per_90,key_passes_per_90,xa_per_90
2022.0,T. Freeman,Loudoun United,ST,1309.0,0.996,17.09401911,0.862,0.943,0.699,0.887,0.954,0.645,0.819,0.553,0.72,0.926
2022.0,T. Etaka Preston,New Mexico United,ST,1356.0,0.993,16.49528307,0.34,0.833,0.628,0.326,0.911,0.174,0.972,0.848,0.787,0.855
2022.0,A. Hoppenot,Detroit City,ST,2733.0,0.986,14.46786494,0.298,1.0,0.337,0.415,0.213,0.167,0.848,0.947,1.0,0.996
2022.0,T. Amang,San Diego Loyal,ST,1974.0,0.979,13.23275613,0.929,0.684,0.993,0.911,0.972,0.521,0.812,1.0,0.535,0.17
2022.0,M. Foster,Sacramento Republic,ST,1210.0,0.975,12.57517576,0.95,0.823,0.918,0.957,0.855,0.787,0.777,0.926,0.777,0.805
2022.0,E. Martínez,Birmingham Legion,ST,3378.0,0.972,12.45098404,0.702,0.979,0.691,0.791,0.745,0.401,0.858,0.833,0.94,0.947
2022.0,P. Goodrum,Memphis 901,ST,2866.0,0.965,11.38695524,0.996,0.73,1.0,0.993,0.911,0.894,0.656,0.975,0.592,0.411
2022.0,J. LaCava,Tampa Bay Rowdies,ST,2460.0,0.961,11.20002484,0.812,0.862,0.674,0.851,0.812,0.656,0.784,0.926,0.638,0.855
2022.0,S. Adeniran,San Antonio,ST,1929.0,0.954,10.84122643,0.911,0.564,0.862,0.933,0.993,0.652,0.702,0.972,0.216,0.411
2022.0,Santi Moar,Phoenix Rising,ST,2438.0,0.95,10.76093226,0.099,0.989,0.27,0.06,0.862,0.099,0.94,0.741,0.993,0.89
2022.0,H. Barry,Colorado Springs,ST,2875.0,0.943,10.45701216,0.777,0.975,0.578,0.801,0.837,0.592,0.266,0.801,0.918,0.89
2022.0,T. Moshobane,San Diego Loyal,ST,2404.0,0.94,10.3803096,0.323,0.911,0.206,0.387,0.11,0.592,0.883,0.333,0.812,0.89
2022.0,Rodrigo Da Costa,FC Tulsa,ST,2683.0,0.936,10.02698132,0.553,0.986,0.493,0.571,0.596,0.674,0.553,0.45,0.989,0.989
2022.0,M. Iloski,Orange County SC,ST,2772.0,0.933,9.979679769,0.943,0.667,0.656,0.996,0.989,0.706,0.894,0.316,0.489,0.567
2022.0,A. Martínez,Hartford Athletic,ST,1197.0,0.918,9.366786253,0.954,0.688,0.727,0.957,0.546,0.762,0.904,0.574,0.131,0.17
2022.0,R. López,Sacramento Republic,ST,2241.0,0.915,9.337686416,0.319,0.993,0.16,0.326,0.585,0.355,0.879,0.046,0.975,0.993
2022.0,K. Vassell,San Diego Loyal,ST,2103.0,0.908,8.697011953,0.926,0.628,0.975,0.933,0.982,0.415,0.564,0.872,0.571,0.493
2022.0,M. Johnsen,Oakland Roots,ST,1425.0,0.89,7.609677174,0.106,0.929,0.216,0.05,0.348,0.394,0.099,0.259,0.95,0.805
2022.0,R. Ruiz,Rio Grande Valley,ST,2848.0,0.872,7.164290165,0.082,0.961,0.188,0.103,0.383,0.064,0.851,0.216,0.957,0.947
2022.0,S. Simonsen,Loudoun United,ST,1837.0,0.869,7.024594317,0.092,0.904,0.121,0.121,0.301,0.213,0.84,0.106,0.95,0.947
2022.0,M. Ramírez,FC Tulsa,ST,902.0,0.865,6.970517679,0.397,0.578,0.255,0.571,0.372,0.379,0.798,0.894,0.489,0.411
2022.0,J. Agudelo,Birmingham Legion,ST,2046.0,0.855,6.788150847,0.454,0.954,0.553,0.259,0.713,0.486,0.117,0.894,0.915,0.968
2022.0,P. Judd,LA Galaxy II,ST,2097.0,0.844,6.535071925,0.968,0.411,0.989,0.933,1.0,0.713,0.826,0.876,0.383,0.652
2022.0,T. Trager,Atlanta United II,ST,1574.0,0.837,6.451537721,0.908,0.713,0.504,0.865,0.152,0.996,0.77,0.638,0.787,0.89
2022.0,S. Guenzatti,Tampa Bay Rowdies,ST,2008.0,0.83,6.237218907,0.695,0.848,0.915,0.518,0.752,0.638,0.713,0.791,0.777,0.493
2022.0,L. Solignac,El Paso Locomotive,ST,2339.0,0.826,6.038541733,0.993,0.592,0.936,0.968,0.652,0.989,0.496,0.766,0.504,0.493
