year,team,points,composite_team_score,points_order,composite_order,underlying_minus_results_order
2022.0,Louisville City,72.0,1.819586539,4,4,0
2023.0,San Antonio,56.0,0.7814043415,20,22,2
2025.0,Louisville City,73.0,1.858405496,3,3,0
2024.0,Indy Eleven,51.0,0.5873095576,29,29,0
2023.0,Indy Eleven,49.0,0.2316190511,36,41,5
2025.0,FC Tulsa,57.0,1.237302188,16,13,-3
2022.0,Rio Grande Valley,49.0,0.2316190511,37,42,5
2025.0,Pittsburgh Riverhounds,44.0,0.3155768602,53,38,-15
2024.0,Louisville City,76.0,1.974862366,2,2,0
2022.0,San Antonio,77.0,2.013681323,1,1,0
2022.0,Birmingham Legion,58.0,0.859042255,15,21,6
2024.0,Tampa Bay Rowdies,50.0,0.2704380079,33,40,7
2024.0,Rhode Island,51.0,0.4482832611,30,34,4
2022.0,New York RB II,15.0,-2.200435851,98,99,1
2024.0,Pittsburgh Riverhounds,48.0,0.05377379783,39,47,8
2023.0,Pittsburgh Riverhounds,67.0,1.625491755,6,5,-1
2022.0,Detroit City,54.0,0.2866875385,24,39,15
2023.0,Louisville City,50.0,0.4094643043,34,36,2
2022.0,Phoenix Rising,42.0,-0.5962188323,59,72,13
2023.0,Colorado Springs,53.0,0.5259211747,25,31,6
2023.0,Detroit City,41.0,-0.3569851961,64,64,0
2025.0,Sacramento Republic,48.0,0.7489052803,40,23,-17
2025.0,Indy Eleven,35.0,-0.7289252332,82,77,-5
2022.0,Pittsburgh Riverhounds,57.0,0.6811970018,17,25,8
2023.0,Las Vegas Lights,19.0,-1.767107431,96,96,0
2022.0,Oakland Roots,46.0,-0.02386411572,45,50,5
2022.0,Charleston Battery,25.0,-1.53419369,93,94,1
2025.0,Loudoun United,42.0,-0.04011364634,60,52,-8
2023.0,Oakland Roots,42.0,-0.5962188323,61,73,12
2023.0,Charleston Battery,59.0,1.036887508,13,16,3
2025.0,Rhode Island,38.0,-0.3344157699,76,61,-15
2024.0,Monterey Bay FC,34.0,-1.045796783,83,85,2
2022.0,Sacramento Republic,53.0,0.6649474712,26,26,0
2024.0,Colorado Springs,52.0,0.9041811074,27,19,-8
2022.0,Tampa Bay Rowdies,67.0,1.347439162,7,9,2
2024.0,Charleston Battery,64.0,1.370008589,8,8,0
2022.0,Memphis 901,68.0,1.525284416,5,6,1
2025.0,El Paso Locomotive,41.0,0.1991199899,65,43,-22
2022.0,Miami,55.0,0.4645327917,22,33,11
2023.0,Miami,41.0,-0.4960114926,66,66,0
2024.0,San Antonio,39.0,-0.5736494061,73,71,-2
2024.0,North Carolina FC,48.0,-0.08525249866,41,53,12
2025.0,Detroit City,37.0,-0.5122610232,78,68,-10
2022.0,New Mexico United,51.0,0.4482832611,31,35,4
2022.0,Indy Eleven,41.0,-0.4960114926,67,67,0
2023.0,Rio Grande Valley,43.0,-0.418373579,58,65,7
2024.0,Sacramento Republic,49.0,0.3706453476,38,37,-1
2024.0,Loudoun United,44.0,-0.6576072152,54,74,20
2023.0,Birmingham Legion,46.0,-0.02386411572,46,51,5
2025.0,Lexington,36.0,-0.6901062764,80,75,-5
2023.0,San Diego Loyal,57.0,0.9592495947,18,17,-1
2024.0,New Mexico United,59.0,1.314940101,14,11,-3
2024.0,Birmingham Legion,45.0,-0.3407356655,50,62,12
2022.0,San Diego Loyal,60.0,1.214732762,12,14,2
2022.0,Monterey Bay FC,40.0,-0.9519093388,69,83,14
2023.0,Memphis 901,52.0,0.6261285144,28,27,-1
2025.0,Charleston Battery,62.0,1.292370675,11,12,1
2025.0,Tampa Bay Rowdies,34.0,-0.9067704865,84,82,-2
2022.0,Colorado Springs,55.0,0.8816116812,23,20,-3
2022.0,Orange County SC,34.0,-1.323849376,85,90,5
2024.0,Hartford Athletic,44.0,-0.5185809187,55,70,15
2023.0,Monterey Bay FC,41.0,-0.7740640855,68,79,11
2024.0,Phoenix Rising,42.0,-0.3181662393,62,59,-3
2023.0,New Mexico United,46.0,-0.1628904122,47,56,9
2025.0,Miami,30.0,-1.20107261,88,86,-2
2024.0,FC Tulsa,38.0,-0.7514946594,77,78,1
2024.0,Las Vegas Lights,50.0,0.5484906008,35,30,-5
2023.0,Phoenix Rising,48.0,0.1928000943,42,44,2
2025.0,Hartford Athletic,44.0,0.1765505637,56,45,-11
2022.0,Loudoun United,28.0,-1.278710524,90,89,-1
2025.0,Colorado Springs,37.0,-0.5122610232,79,69,-10
2023.0,Loudoun United,25.0,-1.395167394,94,91,-3
2024.0,Memphis 901,51.0,0.7263358541,32,24,-8
2023.0,Hartford Athletic,18.0,-1.805926388,97,97,0
2023.0,Tampa Bay Rowdies,63.0,1.331189632,10,10,0
2024.0,Oakland Roots,44.0,-0.1015020293,57,54,-3
