year,team,points,standarised_points_score,position,positon_reversed,adjusted_position_z_score,composite_team_score,total_score,attacking_score_6,defensive_score_8,ball_progression_6,xg_diff,possesion_threat,goals,conceded_goals,xg,shots_on_target,possession_pct,passes_accurate,points_order_within_year,composite_order_within_year,underlying_minus_results_order_within_year
2022.0,Louisville City,72.0,2.05230727,1.0,-1,1.586865808,1.819586539,14.20853658,6.311747213,9.312859584,2.958368092,0.88,0.4129120566,1.86,0.89,1.81,13.24,54.54,438.35,2,2,0
2023.0,San Antonio,56.0,0.8101006535,4.0,-4,0.7527080295,0.7814043415,9.33541934,2.944490814,7.456010849,2.18066614,0.42,0.5887137379,1.81,1.14,1.52,13.44,45.03,258.19,7,7,0
2025.0,Louisville City,73.0,2.129945184,1.0,-1,1.586865808,1.858405496,10.10456028,3.988629301,6.84569995,2.161201937,0.7,0.48687292,1.81,0.65,1.58,12.94,45.69,324.52,1,1,0
2024.0,Indy Eleven,51.0,0.4219110858,4.0,-4,0.7527080295,0.5873095576,3.64659176,1.55412969,2.959872526,0.9084074874,-0.03,0.3891718652,1.46,1.51,1.36,11.54,45.37,349.46,6,7,1
2023.0,Indy Eleven,49.0,0.2666352587,6.0,-6,0.1966028435,0.2316190511,3.64659176,1.55412969,2.959872526,0.9084074874,-0.03,0.3891718652,1.46,1.51,1.36,11.54,45.37,349.46,11,11,0
2025.0,FC Tulsa,57.0,0.8877385671,1.0,-1,1.586865808,1.237302188,9.346198235,3.798280785,6.299878725,2.254422507,0.53,0.5605343537,1.68,0.98,1.67,13.08,46.6,297.93,3,3,0
2022.0,Rio Grande Valley,49.0,0.2666352587,6.0,-6,0.1966028435,0.2316190511,7.114047558,2.161000385,5.865163721,1.307996195,0.4,0.3609030042,1.46,1.23,1.45,13.11,51.78,401.77,13,13,0
2025.0,Pittsburgh Riverhounds,44.0,-0.1215543091,4.0,-4,0.7527080295,0.3155768602,5.684488307,0.03758417797,7.196376167,0.1679024799,0.28,0.2894109636,0.97,0.82,1.19,9.41,50.64,411.18,7,7,0
2024.0,Louisville City,76.0,2.362858925,1.0,-1,1.586865808,1.974862366,12.59209939,7.052676,5.397248409,4.052159615,0.84,0.5693179293,2.47,1.33,2.05,15.47,47.14,360.08,1,1,0
2022.0,San Antonio,77.0,2.440496838,1.0,-1,1.586865808,2.013681323,7.942309991,2.118369083,7.062010156,1.170217053,0.46,0.5592155661,1.68,0.73,1.46,12.92,43.42,261.08,1,1,0
2022.0,Birmingham Legion,58.0,0.9653764806,4.0,-4,0.7527080295,0.859042255,11.98340604,6.611782385,4.534326604,4.966534226,0.68,0.4496739864,1.66,1.11,1.8,14.46,49.76,400.29,6,7,1
