feature,importance_mean,importance_std
conceded_goals,0.9495391169810368,0.06570644499413646
xg_diff,0.7140184722684733,0.037056527898525274
goals,0.5439178935075399,0.06414082183805703
attacking_score_6,0.479629742124691,0.06714802226007971
defensive_score_8,0.4445100571426327,0.10208425274880874
xg,0.4114654070676811,0.06051120621196684
ball_progression_6,0.24094658124329804,0.04250270008943111
possesion_threat,0.1904436268464038,0.03459411735881395
shots_against_on_target,0.13810994930060616,0.0120764078776118
counterattacks_with_shots,0.1316105824123502,0.02772807981985412
shots_on_target,0.11657961992179189,0.02603775772608455
touches_in_penalty_area,0.11468987867725247,0.022900774552830048
yellow_cards,0.1129384525874424,0.029132639748176616
goal_kicks,0.10878415523870011,0.011409993271299565
fouls,0.1025928008112352,0.016771216564109927
corners_with_shots,0.10240213812562224,0.021305984092742824
offsides,0.09598048766609324,0.021100862604484207
penalties_converted,0.0907772348302652,0.014787294679590505
positional_attacks_with_shots,0.08886818923687576,0.023096535639756024
back_passes_accurate,0.08598029322903082,0.02684968401090944
deep_completed_crosses,0.08417004609681342,0.006340426798985607
passes_to_final_third_accurate,0.08384662592364611,0.030450821827505786
crosses_accurate,0.07749678412683521,0.008123398956307357
match_tempo,0.07646513858382545,0.020514455181782142
possession_pct,0.07028390291900397,0.01717322266856749
set_pieces_with_shots,0.06836074489483561,0.022708414364533917
aerial_duels_won,0.0676485720601879,0.008183925349761076
sliding_tackles_successful,0.06539138246713927,0.004811688815679415
free_kicks_with_shots,0.06159309788602725,0.010098445304550455
offensive_duels_won,0.06062807161039459,0.00935123090725847
long_passes_accurate,0.06050091598450162,0.016068165750091772
defensive_duels_won,0.059718697921979924,0.010585740088087981
average_shot_distance,0.057343125355751215,0.017949743038270894
smart_passes_accurate,0.055095017543249816,0.01992288047332295
penalty_area_entries_runs_crosses,0.05419727994601722,0.002481303144103986
forward_passes_accurate,0.050183935920046885,0.010819896325902358
lateral_passes_accurate,0.0495939617808296,0.01508458092648067
deep_completed_passes,0.046631575495211665,0.021004973819050667
ppda,0.046100687892354844,0.008759094697626134
progressive_passes_accurate,0.04349244185481593,0.011248303884926023
clearances,0.04033872861145538,0.004253346600527953
red_cards,0.03643302273857811,0.022256758327465702
average_pass_length,0.02739252713242619,0.004873213658168027
average_passes_per_possession,0.025868785161714047,0.006582238835112747
passes_accurate,0.025704276690387662,0.007146824177944387
long_pass_pct,0.02508137522783995,0.00820776812990906
recoveries_low_medium_high,0.022774056237439843,0.005065833557315828
throw_ins_accurate,0.02220849123753137,0.003443482456423025
interceptions,0.021533528060043227,0.00943347536239414
duels_won,0.020847095571843433,0.01607586518773608
shots_from_outside_penalty_area_on_target,0.01919211353554697,0.006493732039008271
losses_low_medium_high,0.013181439118307825,0.0017596760006429013
