feature,importance_mean,importance_std
attacking_score_6,2.5377670501540828,0.303302376897492
defensive_score_8,2.5319794041199453,0.2945576151186797
yellow_cards,1.023684786890611,0.10353042008272573
red_cards,0.8676115312230855,0.12447898095596124
possesion_threat,0.8355798164043463,0.0906746249196108
offsides,0.7110600218692021,0.16076622242295766
deep_completed_crosses,0.6589944685530676,0.06646904636025763
offensive_duels_won,0.410741456572781,0.0894122132661759
back_passes_accurate,0.3544578795246126,0.08615937875774181
match_tempo,0.25363664468636526,0.0377339337591311
long_passes_accurate,0.21241046767850175,0.06795146123779885
set_pieces_with_shots,0.1992176762199338,0.04320460785650463
ball_progression_6,0.18102011258630543,0.07286405595950013
throw_ins_accurate,0.15130684983171533,0.04076576381540563
average_shot_distance,0.1503057010880023,0.04043216500032978
touches_in_penalty_area,0.13035193477040866,0.08130503677648258
crosses_accurate,0.12304807072324948,0.05286303337312701
fouls,0.11682910210792663,0.023964024185486283
counterattacks_with_shots,0.11621589315516179,0.047452899743770864
sliding_tackles_successful,0.10963692532989855,0.03560341687648333
smart_passes_accurate,0.1031997306467554,0.02179571938709196
forward_passes_accurate,0.09874830681305902,0.025513525693175835
possession_pct,0.09853208071790114,0.018018406725559013
aerial_duels_won,0.08920925456607769,0.015609380233158854
goal_kicks,0.06594640214525996,0.02490480029510671
passes_to_final_third_accurate,0.061889519582150054,0.029020651969257284
penalty_area_entries_runs_crosses,0.055006074055077736,0.02594553280376672
long_pass_pct,0.04766813698817982,0.016855100590268783
progressive_passes_accurate,0.04499603793136222,0.012027853731718628
deep_completed_passes,0.028547384241839335,0.011597261784474374
free_kicks_with_shots,0.021208095728354248,0.016259840116689708
average_pass_length,0.020540139293708837,0.010052866885102941
interceptions,0.017916825248136446,0.009590983507528404
positional_attacks_with_shots,0.011646449276087444,0.006695542539905861
passes_accurate,0.009389694549859228,0.0054568709761750045
clearances,0.0,0.0
duels_won,0.0,0.0
recoveries_low_medium_high,0.0,0.0
lateral_passes_accurate,0.0,0.0
losses_low_medium_high,0.0,0.0
average_passes_per_possession,0.0,0.0
corners_with_shots,0.0,0.0
defensive_duels_won,0.0,0.0
ppda,0.0,0.0
