feature,pearson_with_points,abs_pearson,spearman_with_points,abs_spearman,rf_importance_mean,rf_importance_std,corr_rank,rf_rank
conceded_goals,-0.7655628293141393,0.7655628293141393,-0.699084104242551,0.699084104242551,0.5612833574925589,0.2707863802984381,5.0,1.0
goals,0.742417542837008,0.742417542837008,0.7069196641106362,0.7069196641106362,0.302234551949252,0.19426254168613696,4.0,2.0
attacking_score_6,0.7136765040443093,0.7136765040443093,0.7251443348509438,0.7251443348509438,0.12599808754274483,0.16125377278458353,2.0,3.0
defensive_score_8,0.686726319075392,0.686726319075392,0.6778041585143404,0.6778041585143404,0.11633200201718796,0.1393180145924028,7.0,4.0
xg_diff,0.8212603963122307,0.8212603963122307,0.8034735207831483,0.8034735207831483,0.09692960097744141,0.19754156039386028,1.0,5.0
xg,0.7093449831457838,0.7093449831457838,0.721226173802951,0.721226173802951,0.09438436097724316,0.15412571304383244,3.0,6.0
ball_progression_6,0.6691019279895043,0.6691019279895043,0.6872214566955338,0.6872214566955338,0.07440247496487824,0.10415613607329967,6.0,7.0
penalties_converted,0.39676916695489245,0.39676916695489245,0.3603445678120419,0.3603445678120419,0.04539906387051479,0.037432332142008716,19.0,8.0
corners_with_shots,0.5345743645677776,0.5345743645677776,0.5253826363769348,0.5253826363769348,0.04241978342730637,0.03152711060033134,14.0,9.0
positional_attacks_with_shots,0.5473901420299039,0.5473901420299039,0.5404778052930462,0.5404778052930462,0.03814552380061648,0.045609270556086746,12.0,10.0
red_cards,-0.23624183840197505,0.23624183840197505,-0.23795919981752128,0.23795919981752128,0.036836749837810843,0.01892088187108674,31.0,11.0
touches_in_penalty_area,0.6406138458970522,0.6406138458970522,0.6462712438539603,0.6462712438539603,0.03615978230088957,0.059702750817369366,8.0,12.0
free_kicks_with_shots,0.14451822774881182,0.14451822774881182,0.027032631868550712,0.027032631868550712,0.02806339329323529,0.024193079610318007,50.0,13.0
yellow_cards,-0.2766276534158915,0.2766276534158915,-0.22776671552044528,0.22776671552044528,0.021952798765877902,0.024571095948136164,33.0,14.0
clearances,-0.045022354285218884,0.045022354285218884,-0.05941118492268078,0.05941118492268078,0.020188967450445714,0.013252485552241912,42.0,15.0
set_pieces_with_shots,0.07192450548304236,0.07192450548304236,0.10898325555412355,0.10898325555412355,0.015663044410150918,0.021435082912944176,41.0,16.0
possesion_threat,0.6019786232292627,0.6019786232292627,0.6136526818109155,0.6136526818109155,0.013222412525459977,0.06720960472864031,9.0,17.0
shots_on_target,0.5815855334772211,0.5815855334772211,0.6075266670154049,0.6075266670154049,0.01259238976330052,0.05459019220174812,10.0,18.0
long_passes_accurate,0.10164468888147152,0.10164468888147152,0.058620621893167406,0.058620621893167406,0.01006289072010554,0.012647240282140593,43.0,19.0
recoveries_low_medium_high,0.35183439489461793,0.35183439489461793,0.35272283846301067,0.35272283846301067,0.009903775269226913,0.01951498747806585,20.0,20.0
