feature,pearson_with_points,abs_pearson,spearman_with_points,abs_spearman,rf_importance_mean,rf_importance_std,corr_rank,rf_rank
defensive_score_8,0.686726319075392,0.686726319075392,0.6778041585143404,0.6778041585143404,0.3837399406898822,0.2789981809552026,3.0,1.0
attacking_score_6,0.7136765040443093,0.7136765040443093,0.7251443348509438,0.7251443348509438,0.17693356282563477,0.27660333295957806,1.0,2.0
red_cards,-0.23624183840197505,0.23624183840197505,-0.23795919981752128,0.23795919981752128,0.13285142700092584,0.07083467002518616,23.0,3.0
ball_progression_6,0.6691019279895043,0.6691019279895043,0.6872214566955338,0.6872214566955338,0.0873397503095628,0.1472815165103325,2.0,4.0
positional_attacks_with_shots,0.5473901420299039,0.5473901420299039,0.5404778052930462,0.5404778052930462,0.08149455973124979,0.06929811711197183,7.0,5.0
touches_in_penalty_area,0.6406138458970522,0.6406138458970522,0.6462712438539603,0.6462712438539603,0.05595203654298989,0.22647843455709804,4.0,6.0
possesion_threat,0.6019786232292627,0.6019786232292627,0.6136526818109155,0.6136526818109155,0.03463648684491597,0.11114292588791232,5.0,7.0
set_pieces_with_shots,0.07192450548304236,0.07192450548304236,0.10898325555412355,0.10898325555412355,0.03445827822583289,0.03615480181818244,33.0,8.0
counterattacks_with_shots,0.14634687753384237,0.14634687753384237,0.2590614967526784,0.2590614967526784,0.02770659471701181,0.01675449184294198,20.0,9.0
ppda,-0.317245657429362,0.317245657429362,-0.3724859084667389,0.3724859084667389,0.022109414248303535,0.04417445373197684,11.0,10.0
free_kicks_with_shots,0.14451822774881182,0.14451822774881182,0.027032631868550712,0.027032631868550712,0.012805086246058472,0.007731401087433501,42.0,11.0
offensive_duels_won,0.15724049863989145,0.15724049863989145,0.17713285454473188,0.17713285454473188,0.012500661375661257,0.018263593236987962,27.0,12.0
clearances,-0.045022354285218884,0.045022354285218884,-0.05941118492268078,0.05941118492268078,0.012052392002430955,0.019322200310263393,34.0,13.0
throw_ins_accurate,0.25733089819713884,0.25733089819713884,0.2937433205736405,0.2937433205736405,0.011228190965555801,0.016569503068343493,17.0,14.0
corners_with_shots,0.5345743645677776,0.5345743645677776,0.5253826363769348,0.5253826363769348,0.010881684630527568,0.07097818414577846,9.0,15.0
recoveries_low_medium_high,0.35183439489461793,0.35183439489461793,0.35272283846301067,0.35272283846301067,0.010004576834630657,0.04796006762235281,13.0,16.0
match_tempo,-0.00478239530630183,0.00478239530630183,0.038904344952085584,0.038904344952085584,0.009425696745527172,0.016275765414470584,39.0,17.0
long_passes_accurate,0.10164468888147152,0.10164468888147152,0.058620621893167406,0.058620621893167406,0.003046344173659085,0.010158410557054113,35.0,18.0
goal_kicks,-0.3867150034181668,0.3867150034181668,-0.3642611026143303,0.3642611026143303,-2.343068025905994e-05,0.024675060582852567,12.0,19.0
yellow_cards,-0.2766276534158915,0.2766276534158915,-0.22776671552044528,0.22776671552044528,-0.0003124844120210452,0.02139269222403968,25.0,20.0
offsides,0.22686510379425573,0.22686510379425573,0.25954452362775127,0.25954452362775127,-0.0027439660605168698,0.022999808707712174,19.0,21.0
average_pass_length,0.15407424777172668,0.15407424777172668,0.148585475729985,0.148585475729985,-0.003842766843923743,0.010653743073749097,28.0,22.0
crosses_accurate,0.3468268967351075,0.3468268967351075,0.3045049716686754,0.3045049716686754,-0.004204971222622037,0.014324358194633008,15.0,23.0
fouls,-0.026515141862031556,0.026515141862031556,-0.011301935738890831,0.011301935738890831,-0.0070837055427136406,0.019881588821665554,44.0,24.0
possession_pct,0.15617163680948562,0.15617163680948562,0.13572632206777382,0.13572632206777382,-0.007164897755850971,0.009084424189688071,30.0,25.0
penalty_area_entries_runs_crosses,0.5413933657047685,0.5413933657047685,0.5563995326723172,0.5563995326723172,-0.007925069636296378,0.05296664948533253,6.0,26.0
sliding_tackles_successful,-0.07291242715533076,0.07291242715533076,-0.031707432873174075,0.031707432873174075,-0.008832611943241572,0.02193407361376039,41.0,27.0
